alpha_deg,cx,cz
38,0.0116,-0.148874
39,0.0128334,-0.149747
40,0.0140634,-0.150631
41,0.0152744,-0.151515
42,0.0164531,-0.152392
43,0.0175875,-0.153255
44,0.0186677,-0.1541
45,0.0196852,-0.154924
46,0.0206334,-0.155724
47,0.0215067,-0.156501
48,0.0223013,-0.157253
49,0.0230142,-0.157983
50,0.023644,-0.15869
51,0.0241899,-0.159376
52,0.0246521,-0.160044
53,0.0250318,-0.160696
54,0.0253308,-0.161334
55,0.0255513,-0.16196
56,0.0256962,-0.162575
57,0.025769,-0.163183
58,0.0257733,-0.163785
59,0.0257131,-0.164382
60,0.0255926,-0.164976
61,0.0254162,-0.165568
62,0.0251882,-0.166159
63,0.0249133,-0.166749
64,0.0245959,-0.167338
65,0.0242404,-0.167927
66,0.0238512,-0.168514
67,0.0234325,-0.1691
68,0.0229884,-0.169684
69,0.0225225,-0.170264
70,0.0220387,-0.170839
71,0.0215401,-0.171408
72,0.02103,-0.171969
73,0.0205112,-0.172521
74,0.019986,-0.173061
75,0.0194569,-0.173587
76,0.0189256,-0.174098
77,0.0183938,-0.174591
78,0.0178628,-0.175065
79,0.0173335,-0.175518
80,0.0168067,-0.175947
81,0.0162828,-0.176351
82,0.015762,-0.176728
83,0.015244,-0.177076
84,0.0147287,-0.177395
85,0.0142153,-0.177682
86,0.0137032,-0.177937
87,0.0131913,-0.178159
88,0.0126787,-0.178347
89,0.012164,-0.178501
90,0.011646,-0.17862
91,0.0111232,-0.178705
92,0.0105942,-0.178756
93,0.0100576,-0.178774
94,0.0095119,-0.178758
95,0.00895563,-0.178711
96,0.00838746,-0.178634
97,0.00780612,-0.178527
98,0.00721044,-0.178393
99,0.00659939,-0.178234
100,0.0059721,-0.178052
101,0.00532787,-0.177848
102,0.00466621,-0.177625
103,0.00398682,-0.177387
104,0.00328967,-0.177134
105,0.00257492,-0.17687
106,0.00184304,-0.176599
107,0.00109471,-0.176321
108,0.000330903,-0.17604
109,-0.000447129,-0.17576
110,-0.00123788,-0.175481
111,-0.00203956,-0.175208
112,-0.00285011,-0.174942
113,-0.00366724,-0.174685
114,-0.00448837,-0.17444
115,-0.0053107,-0.174209
116,-0.00613121,-0.173992
117,-0.00694665,-0.173792
118,-0.00775361,-0.17361
119,-0.00854848,-0.173447
120,-0.00932753,-0.173303
121,-0.0100869,-0.173178
122,-0.0108226,-0.173072
123,-0.0115306,-0.172984
124,-0.0122069,-0.172915
125,-0.0128474,-0.172862
126,-0.013448,-0.172824
127,-0.0140047,-0.172798
128,-0.0145136,-0.172783
129,-0.0149709,-0.172776
130,-0.015373,-0.172773
131,-0.0157164,-0.172771
132,-0.0159978,-0.172766
133,-0.0162143,-0.172754
134,-0.016363,-0.17273
135,-0.0164417,-0.17269
136,-0.0164482,-0.172627
137,-0.0163807,-0.172537
138,-0.0162379,-0.172414
139,-0.016019,-0.172252
140,-0.0157233,-0.172044
141,-0.0153508,-0.171785
142,-0.0149019,-0.171469
143,-0.0143775,-0.171088
144,-0.0137789,-0.170636
145,-0.0131081,-0.170107
146,-0.0123673,-0.169495
147,-0.0115595,-0.168791
148,-0.010688,-0.167991
149,-0.00975665,-0.167088
150,-0.00876992,-0.166076
151,-0.00773264,-0.164949
152,-0.00665016,-0.163702
153,-0.00552829,-0.162328
